# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 240 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 7:11:41
> **평가 방식**: 시너지를 전혀 고려하지 않고 맹목적 목표 달성과 랜덤 배치로 짜여진 봇들의 덱 400개가 토너먼트 배틀로얄을 치른 후 살아남은 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 36 | 6L | **보건부2_창체1** | **77.7%** | 골목대장(2★) | 급식 당번(2★) | 진로진학 멘토(2★) | 36G | **급식 당번(2★)**, 문학소녀(2★), **진로진학 멘토(2★)**, **골목대장(2★)**, 팝송 매니아(2★), 합창단 에이스(2★) |
| 37 | 6L | **무지성잡덱** | **76.9%** | 바른생활 사나이(2★) | 수학천재(2★) | 골목대장(2★) | 36G | **바른생활 사나이(2★)**, **수학천재(2★)**, **골목대장(2★)**, 문학소녀(2★), 급식 당번(2★), 과학실험부장(2★) |
| 38 | 8L | **국어2_음악2_과학2** | **76.4%** | 전교 학생회장(2★) | 천재 피아니스트(2★) | 천재 퀀트(2★) | 58G | **전교 학생회장(2★)**, **천재 피아니스트(2★)**, **천재 퀀트(2★)**, 나이팅게일(1★), 미친 과학자(1★), 논술의 신(1★), 외고 전학생(1★), 외고 전학생(1★) |
| 39 | 9L | **국어2_사회1** | **76.4%** | 전교 학생회장(1★) | 피카소의 재림(1★) | 논술의 신(1★) | 29G | **피카소의 재림(1★)**, **전교 학생회장(1★)**, 전교 학생회장(1★), 전교 체육부장(1★), 나이팅게일(1★), **논술의 신(1★)**, 천재 피아니스트(1★) |
| 40 | 6L | **창체1** | **76.2%** | 바른생활 사나이(2★) | 팝송 매니아(2★) | 급식 당번(2★) | 36G | **팝송 매니아(2★)**, **급식 당번(2★)**, 수학천재(2★), 합창단 에이스(2★), **바른생활 사나이(2★)**, 진로진학 멘토(2★) |
| 41 | 8L | **사회1_창체1** | **76.2%** | 전교 학생회장(2★) | 외고 전학생(1★) | 피카소의 재림(1★) | 47G | **전교 학생회장(2★)**, **외고 전학생(1★)**, **피카소의 재림(1★)**, 수석 연구원(1★), 기부 천사(1★), 외고 전학생(1★), 교장 선생님(1★), 피카소의 재림(1★) |
| 42 | 6L | **수학2_장난꾸러기2** | **75.9%** | 골목대장(2★) | 과학실험부장(2★) | 칠판 낙서꾼(2★) | 36G | **과학실험부장(2★)**, **칠판 낙서꾼(2★)**, 팝송 매니아(2★), **골목대장(2★)**, 합창단 에이스(2★), 수학천재(2★) |
| 43 | 8L | **과학2_사회1** | **75.9%** | 전교 학생회장(2★) | 천재 퀀트(2★) | 외고 전학생(1★) | 54G | **전교 학생회장(2★)**, **천재 퀀트(2★)**, **외고 전학생(1★)**, 수석 연구원(1★), 피카소의 재림(1★), 외고 전학생(1★), 피카소의 재림(1★), 피카소의 재림(1★) |
| 44 | 6L | **선도부2_사회1** | **75.4%** | 바른생활 사나이(2★) | 급식 당번(2★) | 역사 매니아(2★) | 36G | **급식 당번(2★)**, **역사 매니아(2★)**, **바른생활 사나이(2★)**, 칠판 낙서꾼(2★), 과학실험부장(2★), 체육부장(2★) |
| 45 | 6L | **장난꾸러기2** | **74.7%** | 골목대장(2★) | 과학실험부장(2★) | 바른생활 사나이(2★) | 36G | **과학실험부장(2★)**, **골목대장(2★)**, **바른생활 사나이(2★)**, 합창단 에이스(2★), 칠판 낙서꾼(2★), 문학소녀(2★) |
