# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 220 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 7:07:23
> **평가 방식**: 시너지를 전혀 고려하지 않고 맹목적 목표 달성과 랜덤 배치로 짜여진 봇들의 덱 400개가 토너먼트 배틀로얄을 치른 후 살아남은 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 23 | 6L | **수학2_선도부2_사회1** | **86.0%** | 바른생활 사나이(2★) | 칠판 낙서꾼(2★) | 수학천재(2★) | 36G | **바른생활 사나이(2★)**, **칠판 낙서꾼(2★)**, **수학천재(2★)**, 역사 매니아(2★), 체육부장(2★), 과학실험부장(2★) |
| 24 | 9L | **사회1** | **85.7%** | 전교 학생회장(1★) | 외고 전학생(1★) | 나이팅게일(1★) | 13G | **외고 전학생(1★)**, **나이팅게일(1★)**, **전교 학생회장(1★)** |
| 25 | 6L | **체육2_선도부2** | **85.5%** | 바른생활 사나이(2★) | 과학실험부장(2★) | 팝송 매니아(2★) | 36G | **과학실험부장(2★)**, **팝송 매니아(2★)**, 팝송 매니아(2★), **바른생활 사나이(2★)**, 골목대장(2★), 체육부장(2★) |
| 26 | 9L | **사회1** | **85.2%** | 전교 학생회장(1★) | 외고 전학생(1★) | 천재 퀀트(1★) | 13G | **외고 전학생(1★)**, **천재 퀀트(1★)**, **전교 학생회장(1★)** |
| 27 | 6L | **장난꾸러기2_사회1** | **85.0%** | 바른생활 사나이(2★) | 역사 매니아(2★) | 칠판 낙서꾼(2★) | 36G | **역사 매니아(2★)**, **칠판 낙서꾼(2★)**, 합창단 에이스(2★), **바른생활 사나이(2★)**, 역사 매니아(2★), 골목대장(2★) |
| 28 | 6L | **보건부2** | **84.7%** | 바른생활 사나이(2★) | 수학천재(2★) | 문학소녀(2★) | 36G | **수학천재(2★)**, **바른생활 사나이(2★)**, **문학소녀(2★)**, 팝송 매니아(2★), 골목대장(2★), 급식 당번(2★) |
| 29 | 6L | **체육2_장난꾸러기2_선도부2** | **84.5%** | 골목대장(2★) | 합창단 에이스(2★) | 칠판 낙서꾼(2★) | 36G | **합창단 에이스(2★)**, **칠판 낙서꾼(2★)**, **골목대장(2★)**, 팝송 매니아(2★), 바른생활 사나이(2★), 체육부장(2★) |
| 30 | 6L | **수학2_창체1_사회1** | **84.0%** | 바른생활 사나이(2★) | 수학천재(2★) | 팝송 매니아(2★) | 36G | **수학천재(2★)**, **팝송 매니아(2★)**, 진로진학 멘토(2★), 역사 매니아(2★), **바른생활 사나이(2★)**, 칠판 낙서꾼(2★) |
| 31 | 6L | **장난꾸러기2** | **83.7%** | 바른생활 사나이(2★) | 문학소녀(2★) | 칠판 낙서꾼(2★) | 36G | **바른생활 사나이(2★)**, **문학소녀(2★)**, **칠판 낙서꾼(2★)**, 골목대장(2★), 급식 당번(2★), 과학실험부장(2★) |
| 32 | 9L | **창체1_사회1** | **83.7%** | 전교 학생회장(1★) | 기부 천사(1★) | 나이팅게일(1★) | 13G | **기부 천사(1★)**, **나이팅게일(1★)**, **전교 학생회장(1★)** |
| 33 | 8L | **국어2_음악2_육상부2** | **83.2%** | 전교 학생회장(2★) | 천재 피아니스트(2★) | 피카소의 재림(1★) | 52G | **전교 학생회장(2★)**, **천재 피아니스트(2★)**, 논술의 신(1★), 전교 학생회장(1★), **피카소의 재림(1★)**, 피카소의 재림(1★), 외고 전학생(1★), 외고 전학생(1★) |
| 34 | 6L | **체육2_수학2_장난꾸러기2** | **82.7%** | 골목대장(2★) | 체육부장(2★) | 칠판 낙서꾼(2★) | 36G | **골목대장(2★)**, **체육부장(2★)**, **칠판 낙서꾼(2★)**, 수학천재(2★), 바른생활 사나이(2★), 팝송 매니아(2★) |
| 35 | 6L | **수학2_장난꾸러기2_창체1** | **82.5%** | 바른생활 사나이(2★) | 칠판 낙서꾼(2★) | 진로진학 멘토(2★) | 36G | **칠판 낙서꾼(2★)**, **진로진학 멘토(2★)**, **바른생활 사나이(2★)**, 수학천재(2★), 문학소녀(2★), 골목대장(2★) |
| 36 | 6L | **체육2_창체1** | **80.7%** | 골목대장(2★) | 수학천재(2★) | 진로진학 멘토(2★) | 36G | **골목대장(2★)**, **수학천재(2★)**, **진로진학 멘토(2★)**, 체육부장(2★), 과학실험부장(2★), 팝송 매니아(2★) |
| 37 | 9L | **사회1** | **80.7%** | 전교 학생회장(1★) | 외고 전학생(1★) | 전교 체육부장(1★) | 13G | **외고 전학생(1★)**, **전교 학생회장(1★)**, **전교 체육부장(1★)** |
| 38 | 6L | **체육2_선도부2_사회1** | **80.5%** | 골목대장(2★) | 역사 매니아(2★) | 합창단 에이스(2★) | 36G | **역사 매니아(2★)**, **합창단 에이스(2★)**, **골목대장(2★)**, 바른생활 사나이(2★), 체육부장(2★), 골목대장(2★) |
| 39 | 6L | **장난꾸러기2_사회1** | **80.5%** | 골목대장(2★) | 팝송 매니아(2★) | 역사 매니아(2★) | 36G | **팝송 매니아(2★)**, **역사 매니아(2★)**, 칠판 낙서꾼(2★), 과학실험부장(2★), **골목대장(2★)**, 급식 당번(2★) |
| 40 | 6L | **장난꾸러기2_창체1_사회1** | **80.5%** | 골목대장(2★) | 급식 당번(2★) | 진로진학 멘토(2★) | 36G | **급식 당번(2★)**, **진로진학 멘토(2★)**, 역사 매니아(2★), 칠판 낙서꾼(2★), **골목대장(2★)**, 문학소녀(2★) |
| 41 | 6L | **체육2_선도부2** | **79.9%** | 바른생활 사나이(2★) | 팝송 매니아(2★) | 체육부장(2★) | 36G | **팝송 매니아(2★)**, **바른생활 사나이(2★)**, **체육부장(2★)**, 합창단 에이스(2★), 골목대장(2★), 과학실험부장(2★) |
| 42 | 6L | **선도부2_사회1** | **79.9%** | 바른생활 사나이(2★) | 급식 당번(2★) | 팝송 매니아(2★) | 36G | **급식 당번(2★)**, **팝송 매니아(2★)**, **바른생활 사나이(2★)**, 수학천재(2★), 체육부장(2★), 역사 매니아(2★) |
| 43 | 6L | **창체1_사회1** | **79.9%** | 바른생활 사나이(2★) | 수학천재(2★) | 진로진학 멘토(2★) | 36G | **수학천재(2★)**, **바른생활 사나이(2★)**, **진로진학 멘토(2★)**, 역사 매니아(2★), 문학소녀(2★), 골목대장(2★) |
| 44 | 6L | **장난꾸러기2_사회1** | **79.7%** | 골목대장(2★) | 과학실험부장(2★) | 팝송 매니아(2★) | 36G | **과학실험부장(2★)**, **팝송 매니아(2★)**, 급식 당번(2★), **골목대장(2★)**, 역사 매니아(2★), 칠판 낙서꾼(2★) |
| 45 | 6L | **수학2_장난꾸러기2_창체1** | **79.4%** | 골목대장(2★) | 팝송 매니아(2★) | 수학천재(2★) | 36G | **팝송 매니아(2★)**, **수학천재(2★)**, 진로진학 멘토(2★), 급식 당번(2★), **골목대장(2★)**, 칠판 낙서꾼(2★) |
