# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 320 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 1:58:07
> **평가 방식**: 시너지를 전혀 고려하지 않고 맹목적 목표 달성과 랜덤 배치로 짜여진 봇들의 덱 400개가 토너먼트 배틀로얄을 치른 후 살아남은 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 28 | 6L | **장난꾸러기2** | **79.4%** | 골목대장(3★) | 합창단 에이스(3★) | 칠판 낙서꾼(3★) | 86G | **합창단 에이스(3★)**, **칠판 낙서꾼(3★)**, **골목대장(3★)**, 과학실험부장(3★), 칠판 낙서꾼(2★), 골목대장(2★), 문학소녀(1★) |
| 29 | 8L | **방송부3_국어2_미술2** | **79.2%** | 전교 학생회장(2★) | 나이팅게일(2★) | 천재 피아니스트(1★) | 52G | **전교 학생회장(2★)**, **나이팅게일(2★)**, 피카소의 재림(1★), **천재 피아니스트(1★)**, 논술의 신(1★), 수능 만점자(1★), 영어 프리토커(1★), 미술 치료사(1★), 피카소의 재림(1★) |
| 30 | 6L | **수학2_체육2_장난꾸러기2** | **78.7%** | 골목대장(3★) | 문학소녀(3★) | 칠판 낙서꾼(3★) | 86G | **문학소녀(3★)**, **칠판 낙서꾼(3★)**, **골목대장(3★)**, 수학천재(3★), 체육부장(2★), 문학소녀(2★), 과학실험부장(1★) |
| 31 | 6L | **보건부2_사회1_창체1** | **78.7%** | 바른생활 사나이(3★) | 수학천재(3★) | 과학실험부장(3★) | 82G | **수학천재(3★)**, **과학실험부장(3★)**, 팝송 매니아(3★), **바른생활 사나이(3★)**, 문학소녀(2★), 역사 매니아(1★), 진로진학 멘토(1★) |
| 32 | 6L | **보건부2_사회1_창체1** | **77.9%** | 바른생활 사나이(3★) | 역사 매니아(3★) | 합창단 에이스(3★) | 78G | **바른생활 사나이(3★)**, **역사 매니아(3★)**, **합창단 에이스(3★)**, 문학소녀(3★), 팝송 매니아(1★), 진로진학 멘토(1★), 수학천재(1★) |
| 33 | 6L | **장난꾸러기2_창체1** | **77.7%** | 골목대장(3★) | 팝송 매니아(3★) | 진로진학 멘토(3★) | 84G | **골목대장(3★)**, **팝송 매니아(3★)**, **진로진학 멘토(3★)**, 칠판 낙서꾼(3★), 팝송 매니아(2★), 골목대장(2★) |
| 34 | 6L | **체육2_장난꾸러기2_선도부2** | **77.4%** | 골목대장(3★) | 급식 당번(3★) | 칠판 낙서꾼(3★) | 82G | **급식 당번(3★)**, **골목대장(3★)**, 바른생활 사나이(3★), **칠판 낙서꾼(3★)**, 체육부장(2★), 합창단 에이스(1★), 문학소녀(1★) |
| 35 | 6L | **체육2_선도부2_창체1** | **76.7%** | 골목대장(3★) | 체육부장(3★) | 진로진학 멘토(3★) | 78G | **골목대장(3★)**, **체육부장(3★)**, **진로진학 멘토(3★)**, 바른생활 사나이(3★), 급식 당번(1★), 팝송 매니아(1★), 팝송 매니아(1★) |
| 36 | 6L | **사회1_창체1** | **76.7%** | 골목대장(3★) | 역사 매니아(3★) | 급식 당번(3★) | 84G | **역사 매니아(3★)**, **골목대장(3★)**, **급식 당번(3★)**, 진로진학 멘토(3★), 역사 매니아(2★), 급식 당번(2★) |
| 37 | 6L | **수학2_장난꾸러기2_보건부2** | **75.7%** | 골목대장(3★) | 칠판 낙서꾼(3★) | 수학천재(3★) | 78G | **칠판 낙서꾼(3★)**, **수학천재(3★)**, **골목대장(3★)**, 바른생활 사나이(3★), 문학소녀(1★), 팝송 매니아(1★), 문학소녀(1★) |
| 38 | 8L | **국어2_수학2_사회1** | **75.7%** | 전교 학생회장(2★) | 전교 체육부장(2★) | 수능 만점자(1★) | 53G | **전교 학생회장(2★)**, **전교 체육부장(2★)**, 기부 천사(1★), **수능 만점자(1★)**, 천재 퀀트(1★), 논술의 신(1★), 천재 피아니스트(1★), 전교 학생회장(1★), 천재 퀀트(1★) |
| 39 | 8L | **국어2_수학2_육상부2** | **75.7%** | 전교 학생회장(2★) | 논술의 신(2★) | 피카소의 재림(1★) | 54G | **전교 학생회장(2★)**, **논술의 신(2★)**, **피카소의 재림(1★)**, 나이팅게일(1★), 수능 만점자(1★), 전교 체육부장(1★), 천재 퀀트(1★), 전교 학생회장(1★), 외고 전학생(1★) |
| 40 | 9L | **급식부3_음악2_과학2** | **74.9%** | 전교 학생회장(1★) | 외고 전학생(2★) | 천재 피아니스트(2★) | 67G | **외고 전학생(2★)**, **천재 피아니스트(2★)**, 천재 퀀트(2★), 피카소의 재림(1★), 피카소의 재림(1★), 외고 전학생(1★), 수석 연구원(1★), 논술의 신(1★), **전교 학생회장(1★)** |
| 41 | 8L | **국어2_음악2_도덕2** | **74.7%** | 전교 학생회장(2★) | 천재 피아니스트(2★) | 외고 전학생(1★) | 53G | **전교 학생회장(2★)**, **천재 피아니스트(2★)**, **외고 전학생(1★)**, 기부 천사(1★), 논술의 신(1★), 나이팅게일(1★), 천재 피아니스트(1★), 양호실 도우미(1★), 수능 만점자(1★) |
| 42 | 8L | **영어2_음악2_사회1** | **74.7%** | 전교 학생회장(2★) | 나이팅게일(2★) | 외고 전학생(1★) | 50G | **전교 학생회장(2★)**, **나이팅게일(2★)**, 미친 과학자(1★), 전교 학생회장(1★), 전교 학생회장(1★), 영어 프리토커(1★), 오케스트라 단장(1★), 해외 보따리상(1★), **외고 전학생(1★)** |
| 43 | 6L | **수학2_선도부2_창체1** | **74.2%** | 바른생활 사나이(3★) | 과학실험부장(3★) | 급식 당번(3★) | 82G | **과학실험부장(3★)**, **바른생활 사나이(3★)**, **급식 당번(3★)**, 체육부장(3★), 진로진학 멘토(2★), 수학천재(1★), 칠판 낙서꾼(1★) |
| 44 | 7L | **선도부2** | **74.2%** | 양호실 도우미(1★) | 올림피아드 금상(3★) | 수채화 장인(2★) | 75G | **올림피아드 금상(3★)**, **수채화 장인(2★)**, 오케스트라 단장(2★), 육상부 에이스(2★), 오케스트라 단장(2★), 수채화 장인(2★), **양호실 도우미(1★)** |
| 45 | 6L | **장난꾸러기2_사회1** | **73.7%** | 골목대장(3★) | 역사 매니아(3★) | 칠판 낙서꾼(3★) | 86G | **역사 매니아(3★)**, **골목대장(3★)**, **칠판 낙서꾼(3★)**, 팝송 매니아(3★), 역사 매니아(2★), 골목대장(2★), 과학실험부장(1★) |
