# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 280 골드 / **분석 시간**: 2026. 6. 1. PM 3:57:41
> **평가 방식**: 각 레벨별 예선(풀 리그)을 통과한 총 60개의 정예 덱들이 결선 토너먼트 배틀로얄을 치른 승률 기반 순위표입니다. (시너지 타겟 덱 합류)

---

## 🏆 최종 최적해 순위 통계 (Top 60)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
| 25 | Syn(과학4) | **과학4_수학2_장난꾸러기2** | **55.9%** | 전교 체육부장(4코2★) | 천재 퀀트(4코2★) | 수능 만점자(4코2★) | 60G | 과학탐구원(1코2★), 미친 과학자(4코1★), 발명품 매니아(3코1★), 과학실험부장(2코1★), **천재 퀀트(4코2★)**, **수능 만점자(4코2★)**, 전교 학생회장(4코2★), **전교 체육부장(4코2★)** |
| 26 | 7L | **미술2** | **54.2%** | 육상부 에이스(3코2★) | 시조 읊는 선비(3코3★) | 영어 프리토커(3코2★) | 81G | **시조 읊는 선비(3코3★)**, 오케스트라 단장(3코2★), **영어 프리토커(3코2★)**, 수채화 장인(3코2★), 발명품 매니아(3코2★), 미술 치료사(3코2★), **육상부 에이스(3코2★)** |
| 27 | Syn(방송부5) | **방송부5_수학2_영어2** | **54.2%** | 전교 체육부장(4코2★) | 수능 만점자(4코2★) | 영어 프리토커(3코1★) | 67G | **수능 만점자(4코2★)**, 사회탐구 1타(3코2★), 합창단 에이스(2코2★), 공익광고 모델(4코1★), **영어 프리토커(3코1★)**, **전교 체육부장(4코2★)**, 천재 퀀트(4코2★), 해외 보따리상(3코2★) |
| 28 | 6L | **체육2_장난꾸러기2_창체1** | **52.5%** | 체육부장(2코2★) | 진로진학 멘토(2코3★) | 칠판 낙서꾼(2코2★) | 48G | **진로진학 멘토(2코3★)**, **칠판 낙서꾼(2코2★)**, 골목대장(2코2★), 문학소녀(2코2★), 합창단 에이스(2코2★), **체육부장(2코2★)** |
| 29 | 7L | **미술2_영어2_창체1** | **52.5%** | 또래 상담 에이스(3코2★) | 수채화 장인(3코2★) | 영어 프리토커(3코2★) | 63G | **수채화 장인(3코2★)**, **또래 상담 에이스(3코2★)**, 해외 보따리상(3코2★), 사회탐구 1타(3코2★), 미술 치료사(3코2★), **영어 프리토커(3코2★)**, 수채화 장인(3코2★) |
| 30 | 9L | **도덕2_과학2_수학2** | **52.5%** | 교장 선생님(5코1★) | 외고 전학생(5코1★) | 수석 연구원(5코1★) | 49G | 나이팅게일(4코2★), **외고 전학생(5코1★)**, **수석 연구원(5코1★)**, 피카소의 재림(5코1★), 피카소의 재림(5코1★), **교장 선생님(5코1★)**, 천재 퀀트(4코1★), 수능 만점자(4코1★), 전교 학생회장(4코1★) |
| 31 | Syn(국어4) | **국어4_방송부3_사회1** | **52.5%** | 전교 체육부장(4코2★) | 수능 만점자(4코2★) | 천재 피아니스트(4코2★) | 57G | 국어부장(1코2★), 논술의 신(4코1★), 시조 읊는 선비(3코1★), 문학소녀(2코1★), **수능 만점자(4코2★)**, **천재 피아니스트(4코2★)**, **전교 체육부장(4코2★)**, 사회탐구 1타(3코2★) |
| 32 | 7L | **선도부2_창체1** | **50.8%** | 또래 상담 에이스(3코2★) | 육상부 에이스(3코2★) | 영어 프리토커(3코2★) | 63G | 시조 읊는 선비(3코2★), 올림피아드 금상(3코2★), **또래 상담 에이스(3코2★)**, **육상부 에이스(3코2★)**, 수채화 장인(3코2★), **영어 프리토커(3코2★)**, 양호실 도우미(3코2★) |
| 33 | 7L | **보건부2_창체1** | **50.8%** | 또래 상담 에이스(3코2★) | 시조 읊는 선비(3코2★) | 발명품 매니아(3코2★) | 63G | **또래 상담 에이스(3코2★)**, **시조 읊는 선비(3코2★)**, 오케스트라 단장(3코2★), 양호실 도우미(3코2★), **발명품 매니아(3코2★)**, 미술 치료사(3코2★), 시조 읊는 선비(3코2★) |
| 34 | 7L | **미술2_창체1** | **49.2%** | 또래 상담 에이스(3코2★) | 육상부 에이스(3코2★) | 영어 프리토커(3코2★) | 63G | 미술 치료사(3코2★), 수채화 장인(3코2★), **또래 상담 에이스(3코2★)**, 오케스트라 단장(3코2★), **육상부 에이스(3코2★)**, **영어 프리토커(3코2★)**, 발명품 매니아(3코2★) |
| 35 | 7L | **영어2_창체1** | **49.2%** | 또래 상담 에이스(3코2★) | 발명품 매니아(3코3★) | 영어 프리토커(3코2★) | 81G | **발명품 매니아(3코3★)**, 양호실 도우미(3코2★), 시조 읊는 선비(3코2★), **또래 상담 에이스(3코2★)**, 올림피아드 금상(3코2★), **영어 프리토커(3코2★)**, 해외 보따리상(3코2★) |
| 36 | 8L | **국어2_수학2_도덕2** | **49.2%** | 전교 학생회장(4코2★) | 수능 만점자(4코2★) | 논술의 신(4코1★) | 54G | **전교 학생회장(4코2★)**, **수능 만점자(4코2★)**, 피카소의 재림(5코1★), 천재 퀀트(4코1★), 나이팅게일(4코1★), 공익광고 모델(4코1★), **논술의 신(4코1★)**, 나이팅게일(4코1★), 기부 천사(5코1★) |
| 37 | 6L | **선도부2_사회1** | **47.5%** | 바른생활 사나이(2코3★) | 칠판 낙서꾼(2코3★) | 팝송 매니아(2코3★) | 84G | **칠판 낙서꾼(2코3★)**, **팝송 매니아(2코3★)**, **바른생활 사나이(2코3★)**, 급식 당번(2코3★), 역사 매니아(2코2★), 체육부장(2코2★) |
| 38 | 6L | **체육2_수학2_장난꾸러기2** | **47.5%** | 체육부장(2코2★) | 과학실험부장(2코3★) | 칠판 낙서꾼(2코2★) | 48G | **과학실험부장(2코3★)**, **체육부장(2코2★)**, 골목대장(2코2★), 문학소녀(2코2★), **칠판 낙서꾼(2코2★)**, 수학천재(2코2★) |
| 39 | 6L | **체육2_사회1** | **45.8%** | 골목대장(2코3★) | 역사 매니아(2코3★) | 수학천재(2코2★) | 72G | 합창단 에이스(2코3★), **역사 매니아(2코3★)**, **골목대장(2코3★)**, **수학천재(2코2★)**, 체육부장(2코2★), 팝송 매니아(2코2★) |
| 40 | 6L | **수학2_창체1** | **45.8%** | 체육부장(2코2★) | 칠판 낙서꾼(2코3★) | 진로진학 멘토(2코2★) | 48G | **칠판 낙서꾼(2코3★)**, **체육부장(2코2★)**, 과학실험부장(2코2★), **진로진학 멘토(2코2★)**, 문학소녀(2코2★), 수학천재(2코2★) |
| 41 | Syn(음악4) | **음악4_창체1** | **45.8%** | 양호실 도우미(3코2★) | 천재 피아니스트(4코1★) | 외고 전학생(5코2★) | 68G | 오케스트라 단장(3코2★), **천재 피아니스트(4코1★)**, 합창단 에이스(2코1★), **외고 전학생(5코2★)**, 기부 천사(5코2★), **양호실 도우미(3코2★)**, 오케스트라 단장(3코2★), 외고 전학생(5코1★) |
| 42 | Syn(급식부5) | **급식부5_국어2_음악2** | **45.8%** | 전교 학생회장(4코2★) | 수석 연구원(5코1★) | 천재 피아니스트(4코2★) | 67G | **전교 학생회장(4코2★)**, 오케스트라 단장(3코2★), **수석 연구원(5코1★)**, 시조 읊는 선비(3코1★), 급식 당번(2코1★), **천재 피아니스트(4코2★)**, 미친 과학자(4코2★), 전교 학생회장(4코2★) |
| 43 | Syn(수학4) | **수학4_보건부2** | **44.1%** | 양호실 도우미(3코2★) | 수능 만점자(4코2★) | 시조 읊는 선비(3코2★) | 62G | **수능 만점자(4코2★)**, 올림피아드 금상(3코2★), 수학 짝꿍(1코2★), 수학천재(2코1★), **시조 읊는 선비(3코2★)**, 해외 보따리상(3코2★), **양호실 도우미(3코2★)**, 미술 치료사(3코2★) |
| 44 | 6L | **창체1** | **42.4%** | 바른생활 사나이(2코3★) | 과학실험부장(2코3★) | 진로진학 멘토(2코2★) | 60G | **과학실험부장(2코3★)**, **바른생활 사나이(2코3★)**, 문학소녀(2코2★), 골목대장(2코2★), **진로진학 멘토(2코2★)**, 수학천재(2코2★) |
| 45 | 6L | **선도부2** | **39.0%** | 체육부장(2코2★) | 칠판 낙서꾼(2코3★) | 문학소녀(2코3★) | 60G | **칠판 낙서꾼(2코3★)**, **문학소녀(2코3★)**, 합창단 에이스(2코2★), **체육부장(2코2★)**, 바른생활 사나이(2코2★), 바른생활 사나이(2코2★) |
| 46 | 8L | **국어2_수학2_사회1** | **37.3%** | 전교 학생회장(4코2★) | 논술의 신(4코1★) | 천재 피아니스트(4코1★) | 52G | **전교 학생회장(4코2★)**, 나이팅게일(4코2★), 전교 체육부장(4코1★), 천재 퀀트(4코1★), **논술의 신(4코1★)**, 수능 만점자(4코1★), 전교 학생회장(4코1★), 천재 퀀트(4코1★), **천재 피아니스트(4코1★)** |
